,User:,Posts:
0,  Additive Manufacturing Society (@amsi_vit) ,27
1,  CSI - VIT Chapter (@csivitu) ,28
2,  IIChE VIT (@iichevit) ,63
3,"  ISTE-VIT, Vellore (@iste_vit_vellore) ",79
5,  AIChE-VIT Student Chapter (@aiche_vit) ,75
6,  ACM VIT Student Chapter (@acmvit) ,47
7,  IETE VIT (@iete_vit) ,149
8,  IISE - VIT (@iisevit) ,12
9,  ISA-VIT (@isa_vit_) ,184
10,  IET On Campus VIT (@ietvit) ,117
11,  SEDS-VIT (@sedsvit) ,307
12,  SAE VIT (@sae_vit) ,127
13,  SPE-VIT (@spe_vit) ,66
14,  IEEE VIT (@ieeevitvellore) ,117
15,  IEEE TEMS VIT (@ieeetemsvit),13
16,"  IEEE Computer Society, VIT (@ieeecs_vit) ",40
17,  IEEE EMBS VIT (@embs_vit) ,18
18,  IEEE-IAS VIT Instagram Handle (@ieeeiasvit) ,109
19,  VIT IEEE MTT-S (@vit.ieee.mtts) ,44
20,  IEEE NPSS VIT CHAPTER (@ieee_npss) ,20
21,  IEEE - PES (@ieeepesvit) ,26
22,  IEEE- RAS (@ieeerasvit) ,33
23,  IEEE SIGNAL PROCESSING SOCIETY (@ieee_sps_vitv) ,42
24,  IEEE WIE EGE (@ieeewieege) ,46
25,  IEEE-PCS VIT (@ieee_pcs_vit) ,50
26,  ASCE VIT (@asce.vit) ,55
27,  Apple Developers Group VIT (@adgvit) ,65
28,  Arch-I-tech club (@arch.i.tech) ,14
29,  DSC VIT - By Google Developers (@dscvitvellore) ,156
30,  CSED VIT (@csed.vit) ,91
31,  CodeChef-VIT Student Chapter (@codechefvit) ,153
32,  Mozilla Firefox Club VIT (@mfcvit) ,49
34,  Innovators Quest Vit (@iquest_vit) ,106
35,  Internet of Things Community (@iothincvit) ,16
36,  roboVITics (@robovitics) ,58
37,  SABEST_VIT (@sabest_vit) ,15
38,  TAG : Technology & Gaming Club (@tagclub.vit) ,27
39,  TEC - VIT (@tec.vit) ,24
40,  Formula Student Team Uttejit (@teamuttejit) ,109
41,  Pravega Racing-Formula Student (@pravega_racing) ,213
43,  MSTC - VIT (@mstcvit) ,15
44,Bot (@bot_trial123),0